time_step,id,x,y,jacobian_determinant,type
1,0,84.48752880457,141.07985800591712,0.0168339334151154,node_or_focus
1,1,90.46441287844203,141.25434901070705,-0.0005024784173258815,saddle
1,2,60.64388247637625,167.97071327498492,0.013511344087845987,node_or_focus
1,3,53.70950419672554,171.37565834776714,-0.000729245628276163,saddle
1,4,93.083920868989,171.88554035249496,-0.0011028379513780319,saddle
1,5,109.60098602844701,174.61709180122227,0.0010621685104467626,node_or_focus
1,6,86.02358675319914,177.3637459941423,0.008889595120294063,node_or_focus
1,7,97.39819333868094,177.6551247368769,0.0011387189904635956,node_or_focus
1,8,115.72387410555652,183.89148215569014,-2.086059996147314e-05,saddle
1,9,92.52800845261667,184.15264662663623,-0.000612957943410253,saddle
1,10,36.44067211099573,189.54202775244258,0.00010648575814417932,node_or_focus
1,11,36.11935563644428,196.3658341777904,-0.00010102379714620206,saddle
1,12,59.17667958684398,196.2264964171082,-0.002326150291265275,saddle
1,13,52.336730974535016,199.20459844195014,0.010830326443313977,node_or_focus
1,14,87.62204117729999,209.08536835781487,0.007507383597127801,node_or_focus
1,15,93.27875118540956,210.10272366466484,-0.00033731235759961,saddle
1,16,44.15832320302062,211.84682676177027,-0.001234907293114762,saddle
1,17,96.80898248905191,212.39022654540526,8.104755549441857e-05,node_or_focus
1,18,97.22565264519376,212.92535576166534,-7.69194350083907e-05,saddle
1,19,43.14885820871376,213.35776785654787,0.002159342820173819,node_or_focus
1,20,37.756276877377054,242.25491605432043,0.009375335970356552,node_or_focus
1,21,99.0696404690018,262.6205993510316,0.011206626275702979,node_or_focus
1,22,124.0433013916058,279.4755859769074,-0.00012795250462721545,saddle
1,23,136.62689047372902,295.634067649592,0.004584041631183895,node_or_focus
1,24,18.399721718237792,320.04566699516005,-1.6137182206476661e-07,saddle
1,25,85.09033947747632,331.23144624286374,0.005108278220721169,node_or_focus
2,0,84.6177788008764,141.35860030480586,0.017553096538640622,node_or_focus
2,1,90.72157663272573,141.48165159514548,-0.00039777362158429784,saddle
2,2,60.617582909942584,168.33273940828843,0.010344869355847391,node_or_focus
2,3,53.63694219264013,171.7129010280413,-0.0006832095969314805,saddle
2,4,93.1158816217408,172.03074715867294,-0.0010158085368229537,saddle
2,5,109.60950870091513,174.705379451322,0.0010711607296109101,node_or_focus
2,6,86.00782002985804,177.51044009331036,0.009036864256461018,node_or_focus
2,7,97.41383564902188,177.7654467296265,0.001100756976937243,node_or_focus
2,8,115.81241097402045,183.96208475201774,-2.159975281359203e-05,saddle
2,9,92.57887833015468,184.4069956830475,-0.0006176313827787708,saddle
2,10,36.421138561311935,189.85426461642967,3.340579537639172e-05,node_or_focus
2,11,36.12282958429048,196.36813308743115,-9.897437497166249e-05,saddle
2,12,59.15251561224697,196.41811854847353,-0.002317149038664505,saddle
2,13,52.45482072473094,199.304773966532,0.010866702263921476,node_or_focus
2,14,87.62232456991242,209.67078474577926,0.008801894088025326,node_or_focus
2,15,93.02840088720889,210.6275126252494,-0.00031629199304799774,saddle
2,16,44.303948275904254,212.0338505098709,-0.000691115317227233,saddle
2,17,43.42075166081869,213.3198683680552,0.001521039936814858,node_or_focus
2,18,37.68466708289498,242.38607574183487,0.009354244573490437,node_or_focus
2,19,99.05534225141946,262.7708145571464,0.011076064845680043,node_or_focus
2,20,124.02035960235385,279.4872590740167,-0.00012764038586518992,saddle
2,21,136.69536728738714,295.417793765833,0.004576136412644962,node_or_focus
2,22,18.845106367585128,321.700196093379,-1.6158312559724844e-07,saddle
2,23,85.18192616161092,331.3811276399627,0.005120630198169258,node_or_focus
3,0,84.73084469610497,141.66476946785505,0.016156526362400805,node_or_focus
3,1,90.99096871638328,141.80271233624916,-0.00044711819811127525,saddle
3,2,60.61118648895568,168.68764445399097,0.008084113987636112,node_or_focus
3,3,53.58551193040216,172.1202616870596,-0.000685319249818327,saddle
3,4,93.18080315472591,172.1856020848943,-0.0010110322329173122,saddle
3,5,109.61713776754641,174.79385730246565,0.0010796563461627521,node_or_focus
3,6,85.97976033335273,177.653619647992,0.011215942287180248,node_or_focus
3,7,97.42923475070972,177.8759649124327,0.0010584913547884692,node_or_focus
3,8,92.62663672621983,184.64491662797542,-0.0006836394079076662,saddle
3,9,115.8895493614992,184.02968362267626,-2.186357334968224e-05,saddle
3,10,36.4138380316592,190.04540038605873,2.5463697988147427e-05,node_or_focus
3,11,36.12159700349769,196.38879860107693,-9.746277332160868e-05,saddle
3,12,59.13664173912935,196.6243020043709,-0.002301914010336238,saddle
3,13,52.574508570383045,199.41014095428815,0.010828315795085036,node_or_focus
3,14,87.57618863075501,210.16473625546544,0.008120533494198123,node_or_focus
3,15,92.84416218393568,211.12964072792653,-0.0004574809548298528,saddle
3,16,44.295381253532504,212.33321600046511,-0.0006550572923665254,saddle
3,17,43.70806009114075,213.2767555750661,0.0015935824714194446,node_or_focus
3,18,37.61328523172528,242.51303550948205,0.009329138089045083,node_or_focus
3,19,99.03895678206166,262.9253506913981,0.010890589200750846,node_or_focus
3,20,123.98941989510386,279.48918180400347,-0.0001301237745337102,saddle
3,21,136.76250375251422,295.19373191880527,0.004550956895988858,node_or_focus
3,22,19.143272311821242,322.89989243240655,-3.0501520827558984e-07,saddle
3,23,85.27352602927735,331.5299910283409,0.005127334039646809,node_or_focus
