from_step,from_id,to_step,to_id,transport_mass,squared_distance
1,0,2,0,0.038461538461538464,0.09466233072453178
1,1,2,1,0.038461538461538464,0.1177996614096628
1,2,2,2,0.038461538461538464,0.13175458839032217
1,3,2,3,0.038461538461538464,0.11899786983121885
1,4,2,4,0.038461538461538464,0.022106506279669702
1,5,2,5,0.038461538461538464,0.007867345098929945
1,6,2,6,0.038461538461538464,0.021767748301499523
1,7,2,7,0.038461538461538464,0.01241562395443907
1,8,2,8,0.038461538461538464,0.012823503682739101
1,9,2,9,0.038461538461538464,0.06728118693717988
1,10,2,10,0.038461538461538464,0.09787341879564337
1,11,2,11,0.038461538461538464,1.735329715302214e-05
1,12,2,12,0.038461538461538464,0.03730293888656888
1,13,2,13,0.038461538461538464,0.023980324825970456
1,14,2,14,0.0038461538461537076,0.3427124276131508
1,15,2,15,0.038461538461538464,0.33807872496254276
1,16,2,16,0.038461538461538464,0.05618454420618946
1,19,2,17,0.038461538461538464,0.07536242052447051
1,20,2,18,0.038461538461538464,0.022330826279358007
1,21,2,19,0.038461538461538464,0.022769047180190682
1,22,2,20,0.038461538461538464,0.0006625868991250172
1,23,2,21,0.038461538461538464,0.05146346680703573
1,25,2,23,0.038461538461538464,0.030792641337029636
2,0,3,0,0.041666666666666664,0.1065234530615271
2,1,3,1,0.01666666666666662,0.17565209421809413
2,2,3,2,0.041666666666666664,0.12599850567130488
2,3,3,3,0.041666666666666664,0.16858777839297545
2,4,3,4,0.041666666666666664,0.028194853628519922
2,5,3,5,0.041666666666666664,0.007886532803240698
2,6,3,6,0.041666666666666664,0.021287731440679636
2,7,3,7,0.041666666666666664,0.012451401067664847
2,8,3,9,0.041666666666666664,0.010519938135985285
2,9,3,8,0.041666666666666664,0.058887240425974596
2,10,3,10,0.041666666666666664,0.03658618016197579
2,11,3,11,0.041666666666666664,0.0004285827017156407
2,12,3,12,0.041666666666666664,0.04276359732466517
2,13,3,13,0.041666666666666664,0.025427382504858542
2,16,3,16,0.041666666666666664,0.08969309082749533
2,17,3,17,0.041666666666666664,0.08440484705351992
2,18,3,18,0.041666666666666664,0.021214151274762116
2,19,3,19,0.041666666666666664,0.024149900389602408
2,20,3,20,0.041666666666666664,0.000960962352110073
2,21,3,21,0.041666666666666664,0.05471101622970309
2,23,3,23,0.041666666666666664,0.030550844137906097
