time_step,point_id,x,y
1,0,71.0,45.0
1,1,78.0,45.0
1,2,69.0,46.0
1,3,80.0,46.0
1,4,68.0,47.0
1,5,81.0,47.0
1,6,67.0,48.0
1,7,82.0,48.0
1,8,66.0,50.0
1,9,83.0,50.0
1,10,66.0,55.0
1,11,83.0,55.0
1,12,67.0,56.0
1,13,82.0,56.0
1,14,68.0,58.0
1,15,81.0,58.0
1,16,69.0,59.0
1,17,80.0,59.0
1,18,72.0,60.0
1,19,77.0,60.0
1,20,84.48810072461008,141.08352583816026
1,21,90.4620582413492,141.29595879855935
1,22,60.64509804952338,167.96941700053642
1,23,53.72205116008418,171.39598211514993
1,24,93.08543753537107,171.88552919697767
1,25,109.59646411600485,174.61442551997413
1,26,86.02353980374369,177.36496749450083
1,27,97.39590046081769,177.67720932233215
1,28,115.72581529637851,183.87139923854707
1,29,92.5256296202394,184.14272430124657
1,30,36.434127338433896,189.77931388439208
1,31,36.106633480277324,196.31011870108026
1,32,59.19624886696244,196.23250252200907
1,33,52.33662574751898,199.20899098062034
1,34,87.61932843028823,209.0792368625803
1,35,93.27895232009968,210.1097763131221
1,36,44.13043661774816,211.84478577452796
1,37,96.77218100620854,212.3323750642788
1,38,97.21481834729994,212.92235157121257
1,39,43.17062553275082,213.34020418148268
1,40,37.74988257644212,242.2504341304719
1,41,99.06987519886262,262.62373841500795
1,42,124.0415488707896,279.4746423017461
1,43,136.62614321924477,295.63471213062246
1,44,18.39918172326163,320.04893681303076
1,45,85.08970404766696,331.23241094334975
2,0,71.0,45.0
2,1,78.0,45.0
2,2,69.0,46.0
2,3,80.0,46.0
2,4,68.0,47.0
2,5,81.0,47.0
2,6,67.0,48.0
2,7,82.0,48.0
2,8,66.0,50.0
2,9,83.0,50.0
2,10,66.0,55.0
2,11,83.0,55.0
2,12,67.0,56.0
2,13,82.0,56.0
2,14,68.0,58.0
2,15,81.0,58.0
2,16,69.0,59.0
2,17,80.0,59.0
2,18,72.0,60.0
2,19,77.0,60.0
2,20,84.61828139769729,141.38099423907155
2,21,90.71657649698845,141.53777637164666
2,22,60.605000265681156,168.3550362342155
2,23,53.658681062570025,171.74656775968532
2,24,93.1159435465323,172.03081820368695
2,25,109.60630272027447,174.70436723333412
2,26,86.0077964036539,177.51107214133145
2,27,97.41313095689515,177.78079992989362
2,28,115.81319124300015,183.9540360444704
2,29,92.57392299449009,184.3844713775834
2,30,36.418792166447545,189.93722757917854
2,31,36.10996007228996,196.30972906217326
2,32,59.1862526541206,196.42743606093887
2,33,52.4530274117214,199.3131345604646
2,34,87.61432414573379,209.63139150470397
2,35,93.02827258683966,210.63171156838072
2,36,44.30562312201833,212.03607814126667
2,37,43.46510173544497,213.289106535671
2,38,37.67979516260154,242.38109598962646
2,39,99.05529441152686,262.77394088597623
2,40,124.01950670166826,279.48677687741423
2,41,136.69445530136906,295.4184207466856
2,42,18.846073708239647,321.6949238092407
2,43,85.18103933143144,331.38284116159247
3,0,71.0,45.0
3,1,78.0,45.0
3,2,69.0,46.0
3,3,80.0,46.0
3,4,68.0,47.0
3,5,81.0,47.0
3,6,67.0,48.0
3,7,82.0,48.0
3,8,66.0,50.0
3,9,83.0,50.0
3,10,66.0,55.0
3,11,83.0,55.0
3,12,67.0,56.0
3,13,82.0,56.0
3,14,68.0,58.0
3,15,81.0,58.0
3,16,69.0,59.0
3,17,80.0,59.0
3,18,72.0,60.0
3,19,77.0,60.0
3,20,84.73003747412542,141.67441379492732
3,21,90.99077093353291,141.8033519447603
3,22,60.59528485043416,168.72329293706005
3,23,53.584289017786716,172.1054160585614
3,24,93.1808857908088,172.1860560273983
3,25,109.61502228826829,174.79386802522083
3,26,85.97941327324004,177.6523758534698
3,27,97.42935715142188,177.88425178438848
3,28,92.62136901347482,184.61693208236503
3,29,115.88961427692456,184.03635191555927
3,30,36.415049941490544,190.01887395991557
3,31,36.10942245155503,196.33193659242374
3,32,59.18566760584618,196.6364477447703
3,33,52.568603394590966,199.4233812135158
3,34,87.58373547787504,210.1835861346237
3,35,92.83165036405134,211.15906687178395
3,36,44.31381079338508,212.35856363375524
3,37,43.72830514713462,213.2653844436627
3,38,37.61030099169759,242.50836969688157
3,39,99.03867872306272,262.92800188059095
3,40,123.98978317233424,279.4893724380954
3,41,136.76176764454996,295.1941435843271
3,42,19.145074406389437,322.88506751140375
3,43,85.2726834662119,331.5321167140418
