time_from,id_from,time_to,id_to,transport_mass
1,12,2,12,0.021739130434782608
1,8,2,8,0.021739130434782608
1,23,2,23,0.021739130434782608
1,16,2,16,0.021739130434782608
1,31,2,31,0.021739130434782608
1,30,2,30,0.021739130434782608
1,9,2,9,0.021739130434782608
1,1,2,1,0.021739130434782608
1,26,2,26,0.021739130434782608
1,5,2,5,0.021739130434782608
1,41,2,39,0.021739130434782608
1,20,2,20,0.021739130434782608
1,40,2,38,0.021739130434782608
1,36,2,36,0.021739130434782608
1,29,2,29,0.021739130434782608
1,21,2,21,0.021739130434782608
1,4,2,4,0.021739130434782608
1,7,2,7,0.021739130434782608
1,10,2,10,0.021739130434782608
1,32,2,32,0.021739130434782608
1,15,2,15,0.021739130434782608
1,2,2,2,0.021739130434782608
1,35,2,35,0.021739130434782608
1,18,2,18,0.021739130434782608
1,24,2,24,0.021739130434782608
1,43,2,41,0.021739130434782608
1,13,2,13,0.021739130434782608
1,27,2,27,0.021739130434782608
1,25,2,25,0.021739130434782608
1,28,2,28,0.021739130434782608
1,19,2,19,0.021739130434782608
1,22,2,22,0.021739130434782608
1,39,2,37,0.021739130434782608
1,14,2,14,0.021739130434782608
1,17,2,17,0.021739130434782608
1,3,2,3,0.021739130434782608
1,6,2,6,0.021739130434782608
1,45,2,43,0.021739130434782608
1,11,2,11,0.021739130434782608
1,0,2,0,0.021739130434782608
1,33,2,33,0.021739130434782608
1,42,2,40,0.021739130434782608
1,34,2,34,0.021739130434782553
1,44,2,42,0.015217391304347891
2,36,3,36,0.022727272727272728
2,41,3,41,0.022727272727272728
2,2,3,2,0.022727272727272728
2,18,3,18,0.022727272727272728
2,15,3,15,0.022727272727272728
2,39,3,39,0.022727272727272728
2,9,3,9,0.022727272727272728
2,17,3,17,0.022727272727272728
2,43,3,43,0.022727272727272728
2,14,3,14,0.022727272727272728
2,24,3,24,0.022727272727272728
2,31,3,31,0.022727272727272728
2,5,3,5,0.022727272727272728
2,26,3,26,0.022727272727272728
2,1,3,1,0.022727272727272728
2,20,3,20,0.022727272727272728
2,38,3,38,0.022727272727272728
2,13,3,13,0.022727272727272728
2,30,3,30,0.022727272727272728
2,19,3,19,0.022727272727272728
2,10,3,10,0.022727272727272728
2,22,3,22,0.022727272727272728
2,3,3,3,0.022727272727272728
2,8,3,8,0.022727272727272728
2,11,3,11,0.022727272727272728
2,40,3,40,0.022727272727272728
2,16,3,16,0.022727272727272728
2,23,3,23,0.022727272727272728
2,27,3,27,0.022727272727272728
2,28,3,29,0.022727272727272728
2,7,3,7,0.022727272727272728
2,32,3,32,0.022727272727272728
2,37,3,37,0.022727272727272728
2,0,3,0,0.022727272727272728
2,33,3,33,0.022727272727272728
2,29,3,28,0.022727272727272728
2,4,3,4,0.022727272727272728
2,6,3,6,0.022727272727272728
2,12,3,12,0.022727272727272728
2,25,3,25,0.022727272727272728
2,21,3,21,0.022727272727272728
2,34,3,34,0.01818181818181814
