track_id,time_step,x,y,type,determinant,trace
0,1,72.0,44.00000000000001,2,0.0006573467483964175,-0.00986231304705143
0,2,72.0,44.00000000000001,2,0.0006589088947182432,-0.009871147572994232
0,3,72.0,44.0,2,0.0006609398291048675,-0.009889241307973862
1,1,73.00000000000003,43.99999999999995,0,-2.6060310124652983e-05,0.03016097331419587
1,2,72.9999999999999,44.00000000000021,0,-2.6058302465353802e-05,0.030197184532880783
1,3,72.99999999999996,44.0000000000001,0,-2.5839086510867624e-05,0.030243128538131714
2,1,74.0,44.0,0,-3.328875898114638e-05,0.007510367780923843
2,2,74.0,43.99999999999999,0,-3.332502118731648e-05,0.0075169214978814125
2,3,74.0,44.0,0,-3.3264958846502094e-05,0.00752192223444581
3,1,75.0,44.00000000000001,0,-5.396259780140156e-05,0.007976958062499762
3,2,75.0,43.99999999999999,0,-5.406311349399896e-05,0.007984020747244358
3,3,75.0,44.0,0,-5.412847990716814e-05,0.007991810329258442
4,1,76.00000000000001,44.000000000000014,0,-2.9251072747147778e-05,0.004093584604561329
4,2,76.0,44.0,0,-2.9340764556129436e-05,0.004098951816558838
4,3,76.0,44.0,0,-2.9473249624639417e-05,0.0041078538633883
5,1,76.9999999999998,43.99999999999987,0,-1.656934242635221e-05,0.01582816243171692
5,2,76.9999999999998,43.99999999999987,0,-1.668973394380189e-05,0.015840398147702217
5,3,77.00000000000009,44.000000000000064,0,-1.6928265551080472e-05,0.01584087312221527
6,1,71.00000000000001,44.99999999999997,1,0.00020937266250541087,0.039774428121745586
6,2,71.00000000000003,44.999999999999936,1,0.00020978788309228982,0.03981547709554434
6,3,71.00000000000001,44.999999999999986,1,0.00021025266341207632,0.03985954541712999
7,1,78.0,44.999999999999986,1,0.00011916454882761324,0.016039254143834114
7,2,77.99999999999997,44.99999999999995,1,0.00011931531767158877,0.016051407903432846
7,3,78.0,44.99999999999999,1,0.00011934535508281716,0.016056166030466557
8,1,69.0,46.0,2,0.001992953943603327,-0.046975277364254
8,2,69.00000000000001,45.99999999999999,2,0.0019967608006725697,-0.047003597021102905
8,3,68.99999999999999,46.00000000000001,2,0.002000381468139967,-0.047032780945301056
9,1,70.0,46.000000000000014,1,0.0002685941253310205,0.04205235093832016
9,2,70.00000000000006,45.99999999999987,1,0.00026912096314521395,0.04208831675350666
9,3,70.00000000000006,45.99999999999988,1,0.00026964918736836736,0.04212448187172413
10,1,80.00000000000014,46.0000000000001,2,0.0002794285703288654,-0.010363519191741943
10,2,80.00000000000001,46.000000000000014,2,0.0002798490712071776,-0.010370278730988503
10,3,80.00000000000001,46.000000000000014,2,0.0002799937905331726,-0.010373122990131378
11,1,68.0,46.99999999999999,2,0.0010969141242496148,-0.030033141374588013
11,2,68.00000000000004,46.999999999999964,2,0.001099042598739164,-0.030039675533771515
11,3,67.99999999999997,47.000000000000014,2,0.0011008374436899402,-0.030046485364437103
12,1,80.99999999999997,46.99999999999995,1,0.0019920289715031915,0.014100998640060425
12,2,81.0,46.99999999999999,1,0.001995112939382482,0.014112323522567749
12,3,81.00000000000003,47.00000000000005,1,0.0019966736134171543,0.014118008315563202
13,1,67.0,48.0,2,0.0031456039125283826,-0.13846823573112488
13,2,67.0,48.0,2,0.003150685927420518,-0.1385529786348343
13,3,67.0,48.0,2,0.0031548748534347974,-0.13863097876310349
14,1,82.0,48.00000000000001,2,0.005817245097188283,-0.035061560571193695
14,2,81.99999999999999,47.99999999999997,2,0.005825952274309154,-0.035088129341602325
14,3,81.99999999999997,47.99999999999996,2,0.005830480682194055,-0.03510144352912903
15,1,67.0,49.00000000000003,1,0.006171287249905231,0.12905003875494003
15,2,67.0,48.99999999999997,1,0.006179518534530802,0.12912358343601227
15,3,67.0,48.99999999999999,1,0.006187435565290224,0.1291835457086563
16,1,66.00000000000004,50.00000000000001,2,0.004669379041041366,-0.2859398350119591
16,2,66.0,50.0,2,0.004675469593546921,-0.2861209809780121
16,3,65.99999999999996,49.99999999999999,2,0.004679628433286174,-0.2862745523452759
17,1,83.0,50.0,2,0.010721866097815893,-0.20321610569953918
17,2,83.00000000000003,50.00000000000002,2,0.010737012003758867,-0.20334263145923615
17,3,83.0,50.0,2,0.010745269983893463,-0.20340852811932564
18,1,66.0,51.0,1,0.00723221519338024,0.05900059640407562
18,2,66.0,51.0,1,0.007243286850363461,0.059026921167969704
18,3,66.0,50.99999999999999,1,0.007252882481447512,0.05904313176870346
19,1,66.0,52.0,1,0.008593403552826201,0.022499308921396732
19,2,66.0,52.0,1,0.008605532475493952,0.022502096369862556
19,3,66.0,52.0,1,0.008615245661219711,0.022497651632875204
20,1,83.0,50.99999999999999,1,0.008793459488073516,0.05100875347852707
20,2,83.0,50.99999999999999,1,0.008804921665751808,0.05102855525910854
20,3,83.0,51.00000000000001,1,0.008811458828493487,0.051039136946201324
21,1,66.0,53.00000000000001,2,0.009527754061626198,-0.019694343209266663
21,2,66.0,53.0,2,0.009540348397780502,-0.019717063754796982
21,3,66.0,53.0,2,0.009549591977016575,-0.01973816379904747
22,1,83.0,52.0,1,0.009735228488928624,0.011656430317088962
22,2,83.0,51.99999999999999,1,0.00974712801382358,0.01165597653016448
22,3,83.0,52.0,1,0.009754145366005322,0.011659739539027214
23,1,66.0,54.00000000000001,2,0.010451650401893003,-0.06467774510383606
23,2,66.0,54.000000000000014,2,0.010464731901430154,-0.0647195428609848
23,3,66.0,53.99999999999999,2,0.010473736093933983,-0.06474865227937698
24,1,83.0,53.00000000000001,2,0.01066763250901726,-0.03175545856356621
24,2,83.0,52.99999999999999,2,0.010679778845520403,-0.03177449852228165
24,3,83.0,53.0,2,0.010687394447635782,-0.031779246404767036
25,1,66.0,55.0,2,0.010705548405205881,-0.11040545254945755
25,2,66.0,55.00000000000001,2,0.010717801568892236,-0.1104593500494957
25,3,66.0,55.0,2,0.010725791716347242,-0.11049189418554306
26,1,83.0,54.0,2,0.01091399008904892,-0.07989135384559631
26,2,83.0,53.999999999999986,2,0.010925485839294419,-0.07992575317621231
26,3,83.0,53.999999999999986,2,0.010933013614002226,-0.07993962615728378
27,1,83.0,55.00000000000002,2,0.008449751317075819,-0.13385887444019318
27,2,83.0,54.99999999999999,2,0.008460288628256988,-0.1338992491364479
27,3,83.0,55.00000000000001,2,0.008467890183036394,-0.13391536474227905
28,1,67.0,56.0,1,0.014753339687447296,0.08847479522228241
28,2,67.0,56.00000000000001,1,0.014766832167015574,0.08850462734699249
28,3,67.0,55.99999999999999,1,0.014774112822357965,0.0885133445262909
29,1,82.0,55.999999999999964,2,0.012292383433760714,-0.18139733374118805
29,2,82.0,55.99999999999998,2,0.012302394023688372,-0.1814584583044052
29,3,82.0,55.999999999999986,2,0.012309981132107234,-0.18149033188819885
30,1,68.00000000000001,58.00000000000005,2,0.008433176259833083,-0.16952602565288544
30,2,68.00000000000001,58.00000000000006,2,0.008439411719506571,-0.1695876121520996
30,3,68.0,58.0,2,0.00844180307470133,-0.16961167752742767
31,1,81.0,57.00000000000001,2,0.008551069580533534,-0.09842528402805328
31,2,81.0,57.00000000000002,2,0.00855690162448042,-0.09845834970474243
31,3,80.99999999999999,57.00000000000005,2,0.008561537707636013,-0.09847557544708252
32,1,81.0,58.00000000000003,2,0.010764604224966494,-0.2905898243188858
32,2,81.00000000000001,58.00000000000006,2,0.010771055902496494,-0.29065491259098053
32,3,81.0,58.00000000000001,2,0.010777797025897767,-0.2906969338655472
33,1,69.00000000000003,59.00000000000002,1,0.01569216259956363,0.017337679862976074
33,2,68.99999999999999,58.99999999999999,1,0.015701676964067216,0.017332881689071655
33,3,69.00000000000001,59.000000000000014,1,0.015703917701298305,0.017322301864624023
34,1,69.99999999999997,58.99999999999998,2,0.002445234711006107,-0.01784203201532364
34,2,69.99999999999999,58.99999999999999,2,0.0024459872552230473,-0.01784885674715042
34,3,70.00000000000003,59.000000000000014,2,0.0024455664568404636,-0.017852045595645905
