"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
77087,2,14,13,16,0.41252,0.41252,0
28290,2,0,65,5,0.41631,0.41631,0
249952,3,34,34,52,0.41631,0.49757,0
380930,1,50,0,80,0.41828,0.41828,0
519155,2,68,2,109,0.41828,0.42058,0
384330,1,0,50,80,0.41828,0.41828,0
499837,2,1,68,104,0.41828,0.42059,0
403382,1,8,50,84,0.42058,0.42058,0
398621,2,8,50,83,0.42058,0.42058,0
359352,2,0,33,75,0.42645,0.42645,0
386970,3,18,19,81,0.42645,0.54375,0
330469,2,28,28,69,0.43932,0.43932,0
292731,3,33,33,61,0.43932,0.50606,0
94309,2,55,55,19,0.45823,0.45823,0
122595,3,51,51,25,0.45823,0.50076,0
42848,1,68,68,8,0.56852,0.56852,0
28289,2,68,64,5,0.56852,0.82212,0
509427,1,0,0,107,0.60926,0.60926,0
518952,2,3,0,109,0.60926,0.77528,0
519156,2,0,3,109,0.77528,0.77528,0
519089,3,2,2,109,0.77528,0.87229,0
28561,2,64,68,5,0.82212,0.82212,0
23663,3,65,66,4,0.82212,1,0
