source_time,source_maximum,target_time,target_maximum,transport_mass,emd_distance
0,0,1,7,0.08333333333333333,37.21558813185679
0,1,1,2,0.08333333333333333,2.23606797749979
0,2,1,1,0.08333333333333333,26.248809496813376
0,3,1,3,0.08333333333333333,5.830951894845301
0,4,1,0,0.08333333333333333,103.58571330062848
0,5,1,4,0.08333333333333333,2.23606797749979
0,6,1,6,0.08333333333333333,12.041594578792296
0,7,1,8,0.08333333333333333,39.56008088970496
0,8,1,5,0.08333333333333333,11.40175425099138
0,9,1,10,0.08333333333333333,12.083045973594572
0,10,1,11,0.08333333333333333,54.70831746635972
0,11,1,9,0.08333333333333333,2.23606797749979
1,0,2,0,0.08333333333333333,3.605551275463989
1,1,2,3,0.08333333333333333,25.553864678361276
1,2,2,1,0.08333333333333333,5.0
1,3,2,2,0.08333333333333333,8.06225774829855
1,4,2,4,0.08333333333333333,3.0
1,5,2,7,0.08333333333333333,12.649110640673518
1,6,2,5,0.08333333333333333,51.24451190127583
1,7,2,8,0.08333333333333333,2.23606797749979
1,8,2,6,0.08333333333333333,46.52956049652737
1,9,2,9,0.08333333333333333,4.0
1,10,2,10,0.08333333333333333,8.48528137423857
1,11,2,11,0.08333333333333333,3.0
