x,y,type,jacobian_determinant,radius
12.614152412,0.069112468,trisector,-0.00306583452286,1
34.217752998,11.316731633,wedge,1.75218189912e-05,1
34.450960281,12.517490192,trisector,-2.13657707883e-05,1
81.249147862,13.537492088,wedge,0.00172154623851,1
94.097740194,13.546963182,wedge,0.000404340715879,1
94.971306977,15.649678868,trisector,-0.000545244753523,1
59.965106949,16.076105979,wedge,3.23948704324e-05,1
67.448267768,19.277732757,trisector,-0.00038310931304,1
51.057543886,20.180491277,trisector,-0.000459519461794,1
48.571428571,25.000000000,wedge,0.000311453277681,1
14.056758883,31.583401740,trisector,-0.00325250164577,1
44.456047357,32.751760428,trisector,-0.000145503764157,1
57.536928248,32.454323902,wedge,0.000166763426434,1
15.010714047,33.276624288,wedge,0.004147927068,1
2.879974266,34.422473505,trisector,-0.00108869494448,1
34.649136073,34.547961383,trisector,-1.72865625967e-05,1
32.359022764,35.484780869,wedge,5.06026246867e-05,1
56.780522035,36.698508908,trisector,-0.000284883006834,1
72.949261877,36.626810230,wedge,0.00056284188423,1
62.938250456,42.554695300,trisector,-0.00159754476831,1
82.241669528,45.499405674,trisector,-0.00047011029034,1
32.885542351,48.630579352,trisector,-0.000148589786691,1
28.174631903,49.072978526,wedge,3.92083080599e-05,1
40.324959368,51.045468635,trisector,-0.000819483569825,1
57.808482371,52.313697117,wedge,0.000131256707853,1
12.063314274,53.510979370,wedge,0.000389628773709,1
67.060123197,53.619751590,trisector,-0.000297565098553,1
7.126508860,56.927202043,trisector,-0.000524439761555,1
45.153395057,56.659467130,trisector,-0.000131978534104,1
41.718319940,58.270855388,wedge,6.59837456749e-05,1
62.078913835,60.812291954,trisector,-0.000230826112278,1
70.201111077,60.548207891,wedge,0.000201190372492,1
87.000000000,60.400000000,trisector,-1.93726919132e-05,1
90.666666667,61.333333333,wedge,1.19216565619e-05,1
5.121758130,62.220334171,wedge,0.000177915996238,1
10.483501394,62.611801115,trisector,-5.66486983253e-05,1
62.633215545,62.361729549,wedge,0.000147598691273,1
63.106943226,62.427091129,trisector,-0.000523708808496,1
90.748545971,62.089417434,trisector,-6.40312343189e-05,1
71.069180012,63.295905846,trisector,-0.000278823079182,1
88.319880251,63.760551504,trisector,-2.48913654568e-05,1
89.158070542,63.479923837,wedge,4.69607377203e-05,1
20.313086259,64.464919448,trisector,-0.000431965380343,1
52.066671401,64.413419489,wedge,0.00069955223039,1
58.359407204,64.217702751,trisector,-0.000353040717088,1
64.788223404,64.055648226,wedge,0.000446683354887,1
40.141611711,66.342656108,wedge,0.000177009142506,1
68.905907914,66.862701765,wedge,0.000274352949647,1
65.277013953,68.932235174,trisector,-5.72434004395e-05,1
71.374324754,68.578428603,trisector,-0.000155178880009,1
15.220246163,69.723713512,wedge,0.000121070153605,1
37.451117099,69.957211795,trisector,-0.000314324423354,1
65.272950802,69.106786777,wedge,4.1359958299e-05,1
15.066761507,70.725626948,trisector,-5.23710266119e-05,1
65.654765971,70.332536159,trisector,-0.000155833554799,1
95.611111111,71.000000000,wedge,4.95493850856e-05,1
80.610389108,71.761451961,wedge,0.000250006386881,1
65.961107455,72.643432770,wedge,0.000198159721329,1
14.414262027,73.486904801,wedge,0.00024073763656,1
75.833672085,74.981891422,trisector,-0.000183296984072,1
42.079644259,77.896581100,trisector,-0.000995253342574,1
47.100374501,77.816263715,wedge,0.00074597144781,1
67.404255319,77.930851064,wedge,0.000140079464603,1
78.136136933,77.884818258,wedge,2.71630863587e-05,1
71.154045307,79.991146558,trisector,-0.000210307040205,1
21.350738645,81.932006717,wedge,0.000122460775163,1
9.327898642,83.012805097,trisector,-0.000174774036625,1
87.954459732,83.933905774,trisector,-0.00102367165791,1
12.765786548,85.325184780,wedge,0.000573255490212,1
51.936834261,86.397640599,trisector,-0.000284186678739,1
97.787155057,86.439358828,trisector,-0.000172945897913,1
91.969335447,87.415737194,trisector,-0.000192069135126,1
96.470720785,87.526131846,wedge,0.000145897665162,1
47.703548568,88.969630082,wedge,0.000194350655675,1
61.548251511,88.442324699,trisector,-0.000486093120148,1
92.094856329,91.641070514,wedge,8.18775218071e-05,1
20.844538494,92.750915702,wedge,0.000203435098452,1
58.378907494,92.617523063,trisector,-0.00232101105648,1
91.993109028,92.219302848,trisector,-0.000161949928847,1
21.714285714,95.000000000,trisector,-1.26667600971e-05,1
33.099075104,94.523558183,wedge,0.000120975538638,1
52.438201436,94.573301418,wedge,0.00081142980884,1
32.872270336,95.258069887,trisector,-0.000216536881632,1
73.728644022,97.118386533,wedge,0.000233563812814,1
75.965750094,97.677477938,trisector,-0.000152195034852,1
79.605001178,98.045800636,wedge,0.000584929054862,1
