pair_id,homology_dimension,birth,death,persistence,is_finite
0,0,0.0,1.0,1.0,0
1,0,0.0,0.37594444438553365,0.37594444438553365,1
2,0,0.0,0.406660379717454,0.406660379717454,1
3,0,0.0,0.37128937652396016,0.37128937652396016,1
6,0,0.11880832628239005,0.4066261037536745,0.28781777747128445,1
7,0,0.11880832628239005,0.23122543096673143,0.11241710468434138,1
8,0,0.18700219069334217,0.4098322669988162,0.22283007630547402,1
9,0,0.18700219069334217,0.3479679406462974,0.1609657499529552,1
10,0,0.19963701474821055,0.4066235326984322,0.20698651795022166,1
11,0,0.19963701474821055,0.29471581388250456,0.09507879913429401,1
13,0,0.2362847257766961,0.4070042630770302,0.1707195373003341,1
14,0,0.2362847257766961,0.3571185991634793,0.12083387338678322,1
15,0,0.2704738613178631,0.40662116861207903,0.13614730729421592,1
21,0,0.3138059828106799,0.37127463551184303,0.057468652701163137,1
23,0,0.33165156474658325,0.4066211027606046,0.07496953801402134,1
24,0,0.33165156984463345,0.3835636792146947,0.051912109370061243,1
310,2,0.41630758571412957,0.49756897437589465,0.08126138866176508,1
314,2,0.4264526922048529,0.5437494070967632,0.11729671489191035,1
315,2,0.43931946607263916,0.506059093824434,0.06673962775179487,1
316,2,0.4582312057932774,0.5007622094835317,0.042531003690254254,1
319,2,0.775280313230729,0.8722933126061567,0.09701299937542773,1
320,2,0.8221217285506064,1.0,0.1778782714493936,1
