track_id,time_step,x,y,type
0,0,72.0,44.0,saddle
0,1,72.0,44.0,saddle
0,2,72.0,44.0,saddle
1,0,73.0,44.0,saddle
1,1,73.0,44.0,saddle
1,2,73.0,44.0,saddle
2,0,74.0,44.0,saddle
2,1,74.0,44.0,saddle
2,2,74.0,44.0,saddle
3,0,75.0,44.0,saddle
3,1,75.0,44.0,saddle
3,2,75.0,44.0,saddle
4,0,76.0,44.0,saddle
4,1,76.0,44.0,saddle
4,2,76.0,44.0,saddle
5,0,77.0,44.0,focus
5,1,77.0,44.0,focus
5,2,77.0,44.0,focus
6,0,71.0,45.0,focus
6,1,71.0,45.0,focus
6,2,71.0,45.0,focus
7,0,78.0,45.0,focus
7,1,78.0,45.0,focus
7,2,78.0,45.0,focus
8,0,69.0,46.0,focus
8,1,69.0,46.0,focus
8,2,69.0,46.0,focus
9,0,70.0,46.0,node
9,1,70.0,46.0,node
9,2,70.0,46.0,node
10,0,80.0,46.0,focus
10,1,80.0,46.0,focus
10,2,80.0,46.0,focus
11,0,68.0,47.0,focus
11,1,68.0,47.0,focus
11,2,68.0,47.0,focus
12,0,81.0,47.0,focus
12,1,81.0,47.0,focus
12,2,81.0,47.0,focus
13,0,67.0,48.0,node
13,1,67.0,48.0,node
13,2,67.0,48.0,node
14,0,82.0,48.0,focus
14,1,82.0,48.0,focus
14,2,82.0,48.0,focus
15,0,67.0,49.0,focus
15,1,67.0,49.0,focus
15,2,67.0,49.0,focus
16,0,66.0,50.0,focus
16,1,66.0,50.0,focus
16,2,66.0,50.0,focus
17,0,83.0,50.0,focus
17,1,83.0,50.0,focus
17,2,83.0,50.0,focus
18,0,66.0,51.0,focus
18,1,66.0,51.0,focus
18,2,66.0,51.0,focus
19,0,66.0,52.0,focus
19,1,66.0,52.0,focus
19,2,66.0,52.0,focus
20,0,83.0,51.0,focus
20,1,83.0,51.0,focus
20,2,83.0,51.0,focus
21,0,66.0,53.0,focus
21,1,66.0,53.0,focus
21,2,66.0,53.0,focus
22,0,83.0,52.0,focus
22,1,83.0,52.0,focus
22,2,83.0,52.0,focus
23,0,66.0,54.0,focus
23,1,66.0,54.0,focus
23,2,66.0,54.0,focus
24,0,83.0,53.0,focus
24,1,83.0,53.0,focus
24,2,83.0,53.0,focus
25,0,66.0,55.0,node
25,1,66.0,55.0,node
25,2,66.0,55.0,node
26,0,83.0,54.0,focus
26,1,83.0,54.0,focus
26,2,83.0,54.0,focus
27,0,83.0,55.0,node
27,1,83.0,55.0,node
27,2,83.0,55.0,node
28,0,67.0,56.0,focus
28,1,67.0,56.0,focus
28,2,67.0,56.0,focus
29,0,82.0,56.0,node
29,1,82.0,56.0,node
29,2,82.0,56.0,node
30,0,68.0,58.0,focus
30,1,68.0,58.0,focus
30,2,68.0,58.0,focus
31,0,81.0,57.0,focus
31,1,81.0,57.0,focus
31,2,81.0,57.0,focus
32,0,81.0,58.0,node
32,1,81.0,58.0,node
32,2,81.0,58.0,node
33,0,69.0,59.0,focus
33,1,69.0,59.0,focus
33,2,69.0,59.0,focus
34,0,70.0,59.0,focus
34,1,70.0,59.0,focus
34,2,70.0,59.0,focus
35,0,78.0,59.0,node
35,1,78.0,59.0,node
35,2,78.0,59.0,node
36,0,79.0,59.0,focus
36,1,79.0,59.0,focus
36,2,79.0,59.0,focus
37,0,80.0,59.0,node
37,1,80.0,59.0,node
37,2,80.0,59.0,node
