x,y,z
40.0,1.0,0.0
43.0,1.0,0.0
49.0,1.0,0.0
52.0,1.0,0.0
33.0,2.0,0.0
36.0,2.0,0.0
38.190967378886896,2.0176136342550466,0.0
46.48358062084697,2.433297330779437,0.0
36.08288140557882,3.5254189080912974,0.0
39.442622530065485,3.8133810942049426,0.0
40.59411728381822,3.1303710921868273,0.0
48.47161860963498,3.211239277789094,0.0
31.0,4.0,0.0
32.0,4.0,0.0
33.60351953840133,4.273232398435633,0.0
40.14969268450911,4.606468510571008,0.0
46.01022464447911,4.534795269535856,0.0
56.69605024044188,4.212351268917436,0.0
60.0,4.0,0.0
42.735533660794346,5.757914072845328,0.0
43.02407227208261,5.547786274428194,0.0
59.71495701686376,5.822305215758433,0.0
61.58574866729437,5.520550713212914,0.0
64.24437850370599,5.5986370721283185,0.0
67.0,5.0,0.0
28.0,6.0,0.0
35.56642175026331,6.18547141527146,0.0
49.57902318665903,6.316791603405779,0.0
55.29838802927053,6.016200134883455,0.0
66.88697618617753,6.576006444288723,0.0
37.6871281684174,7.954004769385797,0.0
74.0,7.0,0.0
26.0,8.0,0.0
28.22401955655688,8.067792971921723,0.0
42.568527625188054,8.413908444769293,0.0
72.58303932464315,8.669693324497443,0.0
30.033185869298755,9.475881482108136,0.0
58.23169126636061,9.510828400557113,0.0
74.52335805648856,9.552325197468475,0.0
78.0,9.0,0.0
24.0,10.0,0.0
46.34282348987859,10.28582323695283,0.0
65.62144259335957,10.13827213127383,0.0
77.96824132779571,10.258296095528657,0.0
26.667496252829686,11.38916304565949,0.0
29.43176303028681,11.790898065962772,0.0
43.94057732795775,11.296479978106635,0.0
49.95690732415099,11.239674808236678,0.0
70.67073745042585,11.749337581060013,0.0
37.56119697718652,12.317307344675346,0.0
55.834975590055144,12.963875352123107,0.0
58.02519377725746,12.042291206887677,0.0
83.74617297838691,12.746172978386912,0.0
47.88779724667075,13.71385965616902,0.0
82.96572550811965,13.115666534794602,0.0
21.0,14.0,0.0
24.725692601744413,14.20805994358511,0.0
36.751243105705846,14.213514130696094,0.0
55.515986608808845,14.828059318012164,0.0
39.01516601548096,15.115072181093169,0.0
55.29475992899916,15.685543309685496,0.0
87.0,15.0,0.0
39.05429670235401,16.205332561436375,0.0
40.09011042740274,16.709519522082342,0.0
20.434034805034184,17.023231674116406,0.0
51.70798961251958,17.033853944905943,0.0
75.02658035579222,17.41904230686213,0.0
20.214528029833577,18.211985576013205,0.0
29.732303350517682,18.163557373375795,0.0
32.48262411452858,18.31990949938277,0.0
67.90393167921634,18.30176891390322,0.0
33.633803610206236,19.130889995337306,0.0
53.72277925598253,19.192075281503254,0.0
21.485969204107995,20.9792173384847,0.0
26.795423877566527,20.561232134819747,0.0
21.32739175912048,21.671621565646,0.0
23.130731555885628,21.275439154104173,0.0
26.297126582598004,21.814826004134723,0.0
65.14313157392642,21.15667462757806,0.0
87.65518179293122,21.138316096794856,0.0
88.41744274740168,21.363445730241015,0.0
92.0,22.0,0.0
17.0,22.0,0.0
21.01633216070938,22.3605640959256,0.0
90.32735272096829,22.296931520890073,0.0
19.278117452255017,23.580961465149382,0.0
20.182060224292577,23.431704345729706,0.0
22.941810704337776,23.70351283325669,0.0
38.27312926674498,23.446282188041934,0.0
53.235161403854335,23.705528041359894,0.0
89.5931102287103,23.595418377706633,0.0
18.33107033197724,24.346273902359357,0.0
23.325466155039283,24.52773557119043,0.0
36.53619908988589,24.179526297044813,0.0
41.53148005960899,24.404894848598687,0.0
