x,y,z,type
36.0,1.0,0.0,wedge
39.0,1.0,0.0,wedge
40.0,1.0,0.0,trisector
41.0,1.0,0.0,wedge
43.0,1.0,0.0,trisector
44.0,1.0,0.0,wedge
49.0,1.0,0.0,trisector
50.0,1.0,0.0,wedge
52.0,1.0,0.0,trisector
33.0,2.0,0.0,trisector
35.0,2.0,0.0,wedge
36.0,2.0,0.0,trisector
38.190967378886896,2.0176136342550466,0.0,trisector
40.56988810903837,2.856761535903763,0.0,wedge
44.3093149777843,2.4327241284361385,0.0,wedge
46.48358062084697,2.433297330779437,0.0,trisector
47.45554733845863,2.8868816931031005,0.0,wedge
49.55072418373234,2.024810578791576,0.0,wedge
54.0,2.0,0.0,wedge
32.0,3.0,0.0,wedge
36.27293456920211,3.017709530448389,0.0,wedge
36.08288140557882,3.5254189080912974,0.0,trisector
39.442622530065485,3.8133810942049426,0.0,trisector
40.59411728381822,3.1303710921868273,0.0,trisector
40.26106428871718,3.4553135399650805,0.0,wedge
48.47161860963498,3.211239277789094,0.0,trisector
56.737295201438855,3.0,0.0,wedge
31.0,4.0,0.0,trisector
32.0,4.0,0.0,trisector
32.0,4.0,0.0,wedge
33.60351953840133,4.273232398435633,0.0,trisector
33.15010559394971,4.308451978222131,0.0,wedge
34.229637456599114,4.2897576088610725,0.0,wedge
39.55363273321224,4.2558353116829695,0.0,wedge
40.14969268450911,4.606468510571008,0.0,trisector
46.01022464447911,4.534795269535856,0.0,trisector
56.69605024044188,4.212351268917436,0.0,trisector
60.0,4.0,0.0,trisector
62.0,4.0,0.0,wedge
68.0,4.0,0.0,wedge
35.55829880560202,5.589118764777616,0.0,wedge
42.85666560189354,5.668848645991432,0.0,wedge
42.735533660794346,5.757914072845328,0.0,trisector
43.02407227208261,5.547786274428194,0.0,trisector
49.167116000873094,5.450620107038429,0.0,wedge
56.175549750962354,5.957014737993971,0.0,wedge
59.99136491918438,5.853653173728774,0.0,wedge
59.71495701686376,5.822305215758433,0.0,trisector
61.58574866729437,5.520550713212914,0.0,trisector
61.690193852300155,5.8621551854334415,0.0,wedge
64.24437850370599,5.5986370721283185,0.0,trisector
66.44979863105422,5.0,0.0,wedge
67.0,5.0,0.0,trisector
28.0,6.0,0.0,wedge
28.0,6.0,0.0,trisector
35.56642175026331,6.18547141527146,0.0,trisector
42.58752093845709,6.314645338900081,0.0,wedge
49.57902318665903,6.316791603405779,0.0,trisector
49.350737159038935,6.752140893228336,0.0,wedge
55.29838802927053,6.016200134883455,0.0,trisector
66.88697618617753,6.576006444288723,0.0,trisector
27.0,7.0,0.0,wedge
37.6871281684174,7.954004769385797,0.0,trisector
68.55633231017238,7.015023043630244,0.0,wedge
74.0,7.0,0.0,trisector
74.0,7.0,0.0,wedge
26.0,8.0,0.0,trisector
26.0,8.0,0.0,wedge
27.0,8.0,0.0,wedge
28.22401955655688,8.067792971921723,0.0,trisector
