x,y,z
36.0,1.0,0.0
39.0,1.0,0.0
41.0,1.0,0.0
44.0,1.0,0.0
50.0,1.0,0.0
35.0,2.0,0.0
40.56988810903837,2.856761535903763,0.0
44.3093149777843,2.4327241284361385,0.0
47.45554733845863,2.8868816931031005,0.0
49.55072418373234,2.024810578791576,0.0
54.0,2.0,0.0
32.0,3.0,0.0
36.27293456920211,3.017709530448389,0.0
40.26106428871718,3.4553135399650805,0.0
56.737295201438855,3.0,0.0
32.0,4.0,0.0
33.15010559394971,4.308451978222131,0.0
34.229637456599114,4.2897576088610725,0.0
39.55363273321224,4.2558353116829695,0.0
62.0,4.0,0.0
68.0,4.0,0.0
35.55829880560202,5.589118764777616,0.0
42.85666560189354,5.668848645991432,0.0
49.167116000873094,5.450620107038429,0.0
56.175549750962354,5.957014737993971,0.0
59.99136491918438,5.853653173728774,0.0
61.690193852300155,5.8621551854334415,0.0
66.44979863105422,5.0,0.0
28.0,6.0,0.0
42.58752093845709,6.314645338900081,0.0
49.350737159038935,6.752140893228336,0.0
27.0,7.0,0.0
68.55633231017238,7.015023043630244,0.0
74.0,7.0,0.0
26.0,8.0,0.0
27.0,8.0,0.0
42.32215459299511,8.556812077154476,0.0
58.358216940602446,8.822449742246302,0.0
65.2016732675551,8.53199613573851,0.0
25.0,9.0,0.0
43.62878972745996,9.126030185669563,0.0
73.31872561185125,9.140480323740892,0.0
77.09737265329368,9.384261766965905,0.0
24.0,10.0,0.0
25.0,11.0,0.0
30.238521084562755,10.66377235266631,0.0
38.63647232387344,10.581968624985574,0.0
78.018222645224,10.27129364350611,0.0
23.0,11.0,0.0
49.43654091099752,11.869549405855935,0.0
58.10904260167348,11.011657758951412,0.0
29.83126325375213,12.9086191953282,0.0
35.17381484957089,12.683530224188512,0.0
70.77495985995796,12.120160463014479,0.0
82.68496618106427,12.80469133995705,0.0
37.31307145351442,13.6485048453672,0.0
55.82389739867302,13.018434505426837,0.0
83.064438752282,13.209923984964249,0.0
85.0,13.0,0.0
23.129049827468418,15.0098504022014,0.0
37.92685843614716,15.265294641039102,0.0
55.51209123381585,15.147122620750473,0.0
20.0,16.0,0.0
39.620931981604045,16.430340221338486,0.0
41.50588360522323,16.05462901906654,0.0
45.03196732696173,16.1840134550532,0.0
51.69564702502355,16.99407072903141,0.0
31.83834438220507,17.473948229917923,0.0
20.21867999476229,18.272108560476127,0.0
31.034340611177242,18.359316029028975,0.0
34.126435891176044,18.81792962184874,0.0
53.22271349242184,18.85313241410252,0.0
72.97884250989108,18.4067738834679,0.0
54.329251183686345,19.35984171217052,0.0
65.80049262429243,19.67744982102127,0.0
20.480376681088835,20.57014441543264,0.0
22.299925538395577,20.732858844213027,0.0
25.184312894829894,20.20900446766844,0.0
87.62502536560618,20.894960447570927,0.0
89.97672411004568,20.43010952802679,0.0
21.568872105400217,21.099466192572987,0.0
28.087951862766193,21.489467274788282,0.0
46.046022495750286,21.305098326941057,0.0
63.33045832496863,21.902285079741382,0.0
88.33799176153542,21.423074754635934,0.0
21.449161550928963,22.04740113890476,0.0
90.30467393552432,22.36164851312576,0.0
92.0,23.0,0.0
17.809973421824534,23.029990733485555,0.0
19.659192692021406,23.270113305464697,0.0
21.68760958814481,23.67393041608895,0.0
36.102501735553,23.7574257294754,0.0
39.63351983037924,23.55937779284603,0.0
15.0,24.0,0.0
19.2385457288442,24.52106328068607,0.0
22.5282876028688,24.875765822117103,0.0
23.498368993263945,24.285029983051743,0.0
40.061161289609416,24.861511856686736,0.0
66.0774498686506,24.519103314553725,0.0
90.89502051652116,24.926221216201654,0.0
16.0,25.346747059821276,0.0
18.681028190937976,25.28606168978815,0.0
21.09496838328585,25.810395599282685,0.0
22.114219636251768,25.42691652530118,0.0
23.420515429565654,25.163874585499702,0.0
43.12645271962359,25.346448398794145,0.0
54.39470568645021,25.968793899335623,0.0
63.005586112347416,25.28660649344846,0.0
92.0,26.0,0.0
15.0,26.0,0.0
31.628288004787517,26.879983369395656,0.0
33.241672711043655,26.667290173037824,0.0
36.64274656273857,26.484891205569667,0.0
60.300048641974946,26.156118224039567,0.0
74.0774359485797,26.870818184430487,0.0
15.0,27.0,0.0
31.65322606521108,27.77934799346389,0.0
37.32754202037043,27.565475138640164,0.0
86.90086477508623,27.798276916970973,0.0
90.78417335429485,27.032120307491464,0.0
18.345016396000638,28.27332420191709,0.0
81.99745152730972,28.857541890197524,0.0
15.0,29.0,0.0
17.476534571798602,29.90701050474574,0.0
19.14138398253728,29.40168531159559,0.0
31.997977293806564,29.55760321944419,0.0
39.147041726049366,29.93027721635987,0.0
47.495926452915015,29.78401857229126,0.0
81.52540244393732,29.664018263151103,0.0
83.64926133014775,29.90564231061758,0.0
86.03238867003435,29.602599071150387,0.0
19.281571759206336,30.829169826603326,0.0
20.10516971070008,30.240858982805324,0.0
21.935547441021377,30.545049908162646,0.0
25.34255724134169,30.53889043254057,0.0
26.153814602833016,30.25662464345496,0.0
27.80783391372193,30.797473681018367,0.0
30.36944107253088,30.45791927326676,0.0
47.27855848490766,30.74531595324158,0.0
90.48112662031492,30.79687698022073,0.0
23.648534237551285,31.495460579012274,0.0
35.21215093305638,31.661069000288038,0.0
39.80890772516588,31.406888344707447,0.0
41.00749683305494,31.990056790646772,0.0
78.88930215994205,31.158357593161874,0.0
18.75126680906629,32.04076532223252,0.0
22.705457766892394,32.25639046663154,0.0
27.147858391222876,32.144373762002175,0.0
45.65868556565426,32.03601076391006,0.0
46.39329125840732,32.00295045792871,0.0
83.3102580639528,32.13438594928982,0.0
87.72533411745329,32.906429863426766,0.0
22.640283035764234,33.414295348425476,0.0
39.896798166505214,33.104327604733705,0.0
78.3770784960703,33.03238954412363,0.0
83.90356881494,33.415685430335614,0.0
87.17530173291983,33.18879299045923,0.0
90.0,33.0,0.0
17.337909966596982,34.514419641932825,0.0
58.560666888558984,34.965996405613126,0.0
74.1057509283292,34.04080849047196,0.0
15.0,35.0,0.0
53.66006948132419,35.87137994611692,0.0
73.99643798151575,35.41417882751723,0.0
78.42369884364354,35.84485343473541,0.0
91.0,36.0,0.0
30.478045565963203,36.39168196693763,0.0
57.414067435542044,36.59762890851591,0.0
56.6402802181265,37.03319741541871,0.0
58.67165636671109,37.203069859226424,0.0
61.70603612349246,37.5405780851191,0.0
64.32747648489809,37.63588157924953,0.0
18.97379012660224,38.3300824839161,0.0
92.0,40.0,0.0
18.0,40.0,0.0
20.975799876843546,40.47070899678493,0.0
44.42323915123595,40.14356815093234,0.0
81.64197374293788,40.75909921437173,0.0
89.82886222784859,40.29760385725738,0.0
19.403900135309645,41.16913222359405,0.0
18.0,42.0,0.0
19.11831518879379,42.71943928663293,0.0
21.92048255387116,42.04682715875939,0.0
29.512020485088854,42.9360904345245,0.0
61.87636759333588,42.46717120941424,0.0
77.42466505067941,42.46797900875352,0.0
88.9610785558403,42.96531939476112,0.0
91.0,43.0,0.0
27.80296333212348,43.81308433007829,0.0
62.42120007618997,43.226328817827394,0.0
67.1832390186537,43.87981471153389,0.0
18.66221906439982,44.212982329520855,0.0
21.165136283158205,44.09294805691262,0.0
29.549862891967134,44.839421662433004,0.0
36.91174280992781,44.16449971531013,0.0
55.791038268741666,44.80394083765414,0.0
56.076134056632895,44.772032024049366,0.0
18.0,45.0,0.0
25.878589307183532,45.40777214979934,0.0
61.49064713318758,45.20903281119513,0.0
75.335531243796,45.81561732163465,0.0
82.71013697436108,45.269357731471835,0.0
88.81257466812299,45.85774918652257,0.0
19.0,46.0,0.0
25.325044089921974,46.621939447631505,0.0
52.451729769357854,47.11329749845094,0.0
65.311657616191,47.362571867583696,0.0
29.503847110885864,48.51372593182719,0.0
35.50152780576796,48.0255942483752,0.0
46.161613231656,48.19133149541019,0.0
88.0,49.0,0.0
20.0,49.0,0.0
25.727540993341684,49.14074359910749,0.0
37.171126448758066,49.94688132005471,0.0
42.52815801710567,49.64817684894892,0.0
72.81356214729598,49.14592091710652,0.0
31.071344610397613,50.48272351338365,0.0
36.69386011735528,50.16819047495318,0.0
50.505021896964905,50.64130317898293,0.0
69.83450663823736,50.0203626499582,0.0
77.5652249860913,50.348059774757445,0.0
85.99121890825927,50.71904994502949,0.0
24.64043870273065,51.57531395478996,0.0
35.77632452185971,51.16033610643569,0.0
81.44857486030105,51.85521824782654,0.0
85.0,52.0,0.0
22.0,53.0,0.0
24.417213753969,52.20022165071556,0.0
59.20502900873599,52.58591107217519,0.0
69.71476132211608,52.80742161553281,0.0
71.77223576448127,52.37244177438718,0.0
72.5923353332234,52.48916163754481,0.0
81.0,53.0,0.0
27.34072194572608,53.013849132424,0.0
44.37935794787138,53.78983628350292,0.0
