track_id,time_step,point_id,x,y,z
0,1,49,79.5,47.5,0.0
0,2,50,79.5,47.5,0.0
0,3,50,79.5,47.5,0.0
1,1,119,76.5,51.5,0.0
1,2,118,76.5,51.5,0.0
1,3,117,76.5,51.5,0.0
2,1,123,80.5,51.5,0.0
2,2,122,80.5,51.5,0.0
2,3,121,80.5,51.5,0.0
3,1,66,79.5,48.5,0.0
3,2,66,79.5,48.5,0.0
3,3,66,79.5,48.5,0.0
4,1,225,75.5,57.5,0.0
4,2,224,75.5,57.5,0.0
4,3,223,75.5,57.5,0.0
5,1,128,66.5,52.5,0.0
5,2,127,66.5,52.5,0.0
5,3,126,66.5,52.5,0.0
6,1,109,66.5,51.5,0.0
6,2,108,66.5,51.5,0.0
6,3,107,66.5,51.5,0.0
7,1,142,80.5,52.5,0.0
7,2,141,80.5,52.5,0.0
7,3,140,80.5,52.5,0.0
8,1,222,72.5,57.5,0.0
8,2,221,72.5,57.5,0.0
8,3,220,72.5,57.5,0.0
9,1,118,75.5,51.5,0.0
9,2,117,75.5,51.5,0.0
9,3,116,75.5,51.5,0.0
10,1,208,73.5,56.5,0.0
10,2,206,73.5,56.5,0.0
10,3,205,73.5,56.5,0.0
11,1,211,76.5,56.5,0.0
11,2,209,76.5,56.5,0.0
11,3,208,76.5,56.5,0.0
12,1,186,68.5,55.5,0.0
12,2,185,68.5,55.5,0.0
12,3,184,68.5,55.5,0.0
13,1,65,78.5,48.5,0.0
13,2,65,78.5,48.5,0.0
13,3,65,78.5,48.5,0.0
14,1,31,75.5,46.5,0.0
14,2,32,75.5,46.5,0.0
14,3,32,75.5,46.5,0.0
15,1,28,72.5,46.5,0.0
15,2,29,72.5,46.5,0.0
15,3,29,72.5,46.5,0.0
16,1,55,68.5,48.5,0.0
16,2,55,68.5,48.5,0.0
16,3,55,68.5,48.5,0.0
17,1,130,68.5,52.5,0.0
17,2,129,68.5,52.5,0.0
17,3,128,68.5,52.5,0.0
18,1,134,72.5,52.5,0.0
18,2,133,72.5,52.5,0.0
18,3,132,72.5,52.5,0.0
19,1,102,78.5,50.5,0.0
19,2,101,78.5,50.5,0.0
19,3,100,78.5,50.5,0.0
20,1,260,74.5,60.0,0.0
20,2,260,74.5,60.0,0.0
20,3,257,74.5,60.0,0.0
21,1,125,82.5,51.5,0.0
21,2,124,82.5,51.5,0.0
21,3,123,82.5,51.5,0.0
22,1,29,73.5,46.5,0.0
22,2,30,73.5,46.5,0.0
22,3,30,73.5,46.5,0.0
23,1,78,73.5,49.5,0.0
23,2,78,73.5,49.5,0.0
23,3,77,73.5,49.5,0.0
24,1,127,66.0,52.5,0.0
24,2,126,66.0,52.5,0.0
24,3,125,66.0,52.5,0.0
25,1,209,74.5,56.5,0.0
25,2,207,74.5,56.5,0.0
