dimension,birth,death,persistence,is_finite
0,0.0,1.0,1.0,0
0,0.0,0.37594443559646606,0.37594444438553365,1
0,0.0,0.40666037797927856,0.406660379717454,1
0,0.0,0.37128937244415283,0.37128937652396016,1
0,0.11880832628239005,0.4066261053085327,0.28781777747128445,1
0,0.11880832628239005,0.23122543096542358,0.11241710468434138,1
0,0.18700219069334217,0.40983226895332336,0.22283007630547402,1
0,0.18700219069334217,0.3479679524898529,0.1609657499529552,1
0,0.19963701474821055,0.4066235423088074,0.20698651795022166,1
0,0.19963701474821055,0.2947158217430115,0.09507879913429401,1
0,0.2362847257766961,0.4070042669773102,0.1707195373003341,1
0,0.2362847257766961,0.3571186065673828,0.12083387338678322,1
0,0.2704738613178631,0.40662115812301636,0.13614730729421592,1
0,0.3138059828106799,0.3712746500968933,0.057468652701163137,1
0,0.33165156474658325,0.4066210985183716,0.07496953801402134,1
0,0.33165156984463345,0.38356366753578186,0.051912109370061243,1
2,0.41630758571412957,0.4975689649581909,0.08126138866176508,1
2,0.4264526922048529,0.5437493920326233,0.11729671489191035,1
2,0.43931946607263916,0.5060591101646423,0.06673962775179487,1
2,0.4582312057932774,0.5007622241973877,0.042531003690254254,1
2,0.775280313230729,0.8722932934761047,0.09701299937542773,1
2,0.8221217285506064,1.0,0.1778782714493936,1
